CspProjectId,Type,Context,CriteriaCloudAccounts,CriteriaRules
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,31686868338,7076b215-64de-443c-a49b-4eb2030019d8
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,ab17b9a8-c319-40ee-9c0d-3c18293a4895
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,1d187035-9fff-48b2-a7c3-ffc56a4da5e6
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,325733683423,5c8c25f37a550e1fb6560bca
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f17a550e1fb6560bc8
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f67a550e1fb6560bd0
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,77539374103,4150dadf-2f01-4c51-84d4-c22adf5b62f8
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,0fb44e99-d3d6-4623-86dd-2d9566041bbe
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,31686868338,5c8c263b7a550e1fb6560c35
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,282706844260,2f9da251-dbbf-408b-954c-fdcdd902aa1e
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c263b7a550e1fb6560c35
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,77539374103,084348fa-552d-4828-ba91-9c0e95d26c57
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f67a550e1fb6560bd0
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,82176615813,4150dadf-2f01-4c51-84d4-c22adf5b62f8
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,policy,project,,ffc38c48-ba79-49dc-963d-0106f285bd8f
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,77539374103,5c8c25f67a550e1fb6560bd0
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,4c8ce4fa-a130-435c-bffb-1187f212f967
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,18bd422d-6d42-443e-aba3-7feaea03617a
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f67a550e1fb6560bd0
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c263b7a550e1fb6560c35
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,77539374103,5c8c25f77a550e1fb6560bd3
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25ec7a550e1fb6560bbe
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,1d187035-9fff-48b2-a7c3-ffc56a4da5e6
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,cf9c33e7-292e-45d7-8859-36cf218538a2
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,31686868338,5c8c25f77a550e1fb6560bd3
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,ab17b9a8-c319-40ee-9c0d-3c18293a4895
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f77a550e1fb6560bd3
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25ec7a550e1fb6560bbe
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f77a550e1fb6560bd3
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f67a550e1fb6560bd0
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c26637a550e1fb6560c6b
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,82176615813,5c8c25f77a550e1fb6560bd3
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,e4444590-1316-4ddd-91cb-541c5c054820
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f67a550e1fb6560bd0
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f67a550e1fb6560bd0
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,ab17b9a8-c319-40ee-9c0d-3c18293a4895
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,605735717518,2f9da251-dbbf-408b-954c-fdcdd902aa1e
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c26497a550e1fb6560c4b
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,1d187035-9fff-48b2-a7c3-ffc56a4da5e6
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f77a550e1fb6560bd3
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,7a8a2e88-c8cf-462d-85fe-e821688afd11
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,1d187035-9fff-48b2-a7c3-ffc56a4da5e6
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,3f7bb56e-b196-11eb-8529-0242ac130003
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,31686868338,5c8c25f77a550e1fb6560bd3
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,82176615813,4150dadf-2f01-4c51-84d4-c22adf5b62f8
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f67a550e1fb6560bd0
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,82176615813,5c8c25f67a550e1fb6560bd0
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,31686868338,7076b215-64de-443c-a49b-4eb2030019d8
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,1d187035-9fff-48b2-a7c3-ffc56a4da5e6
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,3fedf4d7-1177-45b3-899f-f0ea150d3c01
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,407817304807,5c8c25f67a550e1fb6560bd0
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f67a550e1fb6560bd0
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,605735717518,5c8c25f67a550e1fb6560bd0
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f67a550e1fb6560bd0
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,31686868338,5f034e02-36b2-490c-943b-62f49393cb00
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f67a550e1fb6560bd0
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f67a550e1fb6560bd0
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f67a550e1fb6560bd0
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c264a7a550e1fb6560c4d
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,277921370783,5c8c25f67a550e1fb6560bd0
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f77a550e1fb6560bd3
