Id,CspProjectId,Type,Context,CriteriaCloudAccounts,CriteriaRules
01a81a45-7a5c-4176-a1ae-ae072f882cb5,235ff0a4-9a67-4ad8-8038-0f45e2a700c6,single,project,897860998156,3f053c2e-2cfe-44b2-8a35-912a8ddb1270
01c6f98f-6e26-4666-bf23-92a273bb742d,235ff0a4-9a67-4ad8-8038-0f45e2a700c6,single,project,699183880494,Recon:EC2/Portscan
01cc28c5-b3a4-4b91-aeb4-88502c235bb9,235ff0a4-9a67-4ad8-8038-0f45e2a700c6,single,project,897860998156,839ce1d3-d96c-475c-9787-164560f8a106
01f26b9a-6193-454e-bd9c-eeb817b5ebd9,235ff0a4-9a67-4ad8-8038-0f45e2a700c6,single,project,897860998156,5d211f33-640f-47d5-860d-20b8c4205597
02226ada-6eba-4662-9bbe-6320b5d78194,235ff0a4-9a67-4ad8-8038-0f45e2a700c6,single,project,699183880494,df70d6b1-fdca-4589-88d6-f9d08df4db0d
02252602-41db-4943-adac-ee9fc3f907d8,235ff0a4-9a67-4ad8-8038-0f45e2a700c6,single,project,699183880494,Recon:EC2/Portscan
022aa6ae-f785-45fe-9178-56337258f047,235ff0a4-9a67-4ad8-8038-0f45e2a700c6,single,project,699183880494,4e41e7a8-8172-4f4b-9b0a-7f017ad51d52
0245e10b-2dbf-41bf-b5c9-af7c3d706d66,235ff0a4-9a67-4ad8-8038-0f45e2a700c6,single,project,699183880494,Recon:EC2/Portscan
02b2905b-7ba1-45ea-bd76-8ead2e58654a,235ff0a4-9a67-4ad8-8038-0f45e2a700c6,single,project,897860998156,bdc54b11-ece6-44b4-92a6-2bd3783fd0f2
02f9518f-38a2-4686-8562-96303b8619eb,235ff0a4-9a67-4ad8-8038-0f45e2a700c6,single,project,897860998156,4e41e7a8-8172-4f4b-9b0a-7f017ad51d52
03082129-3b5a-494d-9ddd-5bbc2cc483db,235ff0a4-9a67-4ad8-8038-0f45e2a700c6,single,project,699183880494,Recon:EC2/Portscan
0309c7b1-ad4b-46b2-ad8d-78dbea101ba8,235ff0a4-9a67-4ad8-8038-0f45e2a700c6,single,project,699183880494,82b26701-6d4a-44d1-b792-ba8314dbe985
03297d89-1352-4594-88ae-5973278345a4,235ff0a4-9a67-4ad8-8038-0f45e2a700c6,single,project,5753ada9-b8e5-45eb-b881-eebb4c292032,856e5206-db4b-11ea-87d0-0242ac130003
032bc660-f39a-465d-abf3-e1e2e09bfb60,235ff0a4-9a67-4ad8-8038-0f45e2a700c6,single,project,897860998156,5c8c263b7a550e1fb6560c35
033f444a-fbcf-4bde-8c20-ba109a7a0dd3,235ff0a4-9a67-4ad8-8038-0f45e2a700c6,single,project,897860998156,189714a1-0466-415e-b540-50b88e642cf4
03469c89-a007-40dd-b67d-d64fef28a0da,235ff0a4-9a67-4ad8-8038-0f45e2a700c6,single,project,5753ada9-b8e5-45eb-b881-eebb4c292032,5c8c266e7a550e1fb6560c7f
0363d37c-f8fd-4ebe-bbfa-4998dca2f381,235ff0a4-9a67-4ad8-8038-0f45e2a700c6,single,project,897860998156,Recon:EC2/Portscan
03ba983b-62e7-42fa-97ef-396d7026db30,235ff0a4-9a67-4ad8-8038-0f45e2a700c6,single,project,699183880494,5c8c25f67a550e1fb6560bcf
03d13f24-7ff5-46be-94d9-db436684bbe1,235ff0a4-9a67-4ad8-8038-0f45e2a700c6,single,project,897860998156,df70d6b1-fdca-4589-88d6-f9d08df4db0d
03dda138-06bf-48bc-8a58-f3f85aef6d95,235ff0a4-9a67-4ad8-8038-0f45e2a700c6,single,project,699183880494,df70d6b1-fdca-4589-88d6-f9d08df4db0d
043218d3-fa28-4a36-b3d8-94c6bbf77c93,235ff0a4-9a67-4ad8-8038-0f45e2a700c6,single,project,699183880494,df70d6b1-fdca-4589-88d6-f9d08df4db0d
046b4896-9f77-4859-a7ef-9ae31517c9c1,235ff0a4-9a67-4ad8-8038-0f45e2a700c6,single,project,699183880494,Recon:EC2/Portscan
048364fa-a79b-4078-a743-fd62912ce9c5,235ff0a4-9a67-4ad8-8038-0f45e2a700c6,single,project,897860998156,2f7c3244-102d-4e4d-bdb8-cdc169e18141
04ce6688-0b54-47c6-9908-c82ef970a846,235ff0a4-9a67-4ad8-8038-0f45e2a700c6,single,project,699183880494,df70d6b1-fdca-4589-88d6-f9d08df4db0d
04d80a1d-0b30-4a0d-9241-7a50ddbbad48,235ff0a4-9a67-4ad8-8038-0f45e2a700c6,single,project,96e9e965-adbe-4ada-9e57-05d61fc39706,eb04f5ff-99bc-41b1-88aa-b70977e859ff
04da62dd-281f-430d-b752-5128ecbffda0,235ff0a4-9a67-4ad8-8038-0f45e2a700c6,single,project,699183880494,5c8c25f67a550e1fb6560bcf
04dfacd8-95aa-434a-b98b-d2435621cd43,235ff0a4-9a67-4ad8-8038-0f45e2a700c6,single,project,897860998156,df70d6b1-fdca-4589-88d6-f9d08df4db0d
04f704f0-54f3-403b-a67a-7e30bcd77f56,235ff0a4-9a67-4ad8-8038-0f45e2a700c6,single,project,699183880494,31438b61-b6dc-407a-adf1-58d7a53f5105
05058e9e-37e4-490a-ba25-91c2534b4d08,235ff0a4-9a67-4ad8-8038-0f45e2a700c6,single,project,699183880494,b5437b0d-6476-45b6-a318-504a10b5ca1d
054ea797-2bea-4d75-aeec-4fae36a5f109,235ff0a4-9a67-4ad8-8038-0f45e2a700c6,single,project,897860998156,Recon:EC2/Portscan
05875877-de8b-4bf1-aa1c-04e0679d49ba,235ff0a4-9a67-4ad8-8038-0f45e2a700c6,single,project,699183880494,df70d6b1-fdca-4589-88d6-f9d08df4db0d
058b0c09-526d-46ae-838d-15056eb4d5a6,235ff0a4-9a67-4ad8-8038-0f45e2a700c6,single,project,897860998156,Recon:EC2/Portscan
058b10b1-2eee-4080-9570-69d30048989a,235ff0a4-9a67-4ad8-8038-0f45e2a700c6,single,project,897860998156,6b67bc0d-73c3-441a-b474-ddbee36dd42c
05a34ab7-2378-4412-9287-469bc64fc159,235ff0a4-9a67-4ad8-8038-0f45e2a700c6,single,project,699183880494,d9daf307-56b9-430b-8d4d-03115c690465
05b4d499-5bbe-4646-ab15-724233831b65,235ff0a4-9a67-4ad8-8038-0f45e2a700c6,single,project,897860998156,Recon:EC2/Portscan
05c632d3-3a3d-4c23-9c59-1f76faf44cbc,235ff0a4-9a67-4ad8-8038-0f45e2a700c6,single,project,44442657-9012-44a9-9442-fd21b535ef72,eb04f5ff-99bc-41b1-88aa-b70977e859ff
05d94319-3234-4140-84bb-dc3362f88cb4,235ff0a4-9a67-4ad8-8038-0f45e2a700c6,single,project,699183880494,5c8c25f67a550e1fb6560bcf
